yourlist:M20210831A084FC58F6BBA219896F365D15F2EB441669B00	Entry	Entry name	Protein names	Gene names	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)
Q86SF2	Q86SF2	GALT7_HUMAN	N-acetylgalactosaminyltransferase 7 (EC 2.4.1.41) (Polypeptide GalNAc transferase 7) (GalNAc-T7) (pp-GaNTase 7) (Protein-UDP acetylgalactosaminyltransferase 7) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 7)	GALNT7	carbohydrate metabolic process [GO:0005975]; O-glycan processing [GO:0016266]; protein O-linked glycosylation [GO:0006493]	carbohydrate binding [GO:0030246]; metal ion binding [GO:0046872]; polypeptide N-acetylgalactosaminyltransferase activity [GO:0004653]	extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; membrane [GO:0016020]
Q86TM6	Q86TM6	SYVN1_HUMAN	E3 ubiquitin-protein ligase synoviolin (EC 2.3.2.27) (RING-type E3 ubiquitin transferase synoviolin) (Synovial apoptosis inhibitor 1)	SYVN1 HRD1 KIAA1810	endoplasmic reticulum mannose trimming [GO:1904380]; ERAD pathway [GO:0036503]; immature B cell differentiation [GO:0002327]; IRE1-mediated unfolded protein response [GO:0036498]; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902236]; protein K48-linked ubiquitination [GO:0070936]; protein stabilization [GO:0050821]; protein ubiquitination [GO:0016567]; retrograde protein transport, ER to cytosol [GO:0030970]; ubiquitin-dependent ERAD pathway [GO:0030433]; ubiquitin-dependent protein catabolic process [GO:0006511]	ATPase binding [GO:0051117]; chaperone binding [GO:0051087]; metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-specific protease binding [GO:1990381]; unfolded protein binding [GO:0051082]	cytoplasm [GO:0005737]; Derlin-1 retrotranslocation complex [GO:0036513]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum quality control compartment [GO:0044322]; Hrd1p ubiquitin ligase complex [GO:0000836]; Hrd1p ubiquitin ligase ERAD-L complex [GO:0000839]; integral component of endoplasmic reticulum membrane [GO:0030176]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; smooth endoplasmic reticulum [GO:0005790]
Q86UE4	Q86UE4	LYRIC_HUMAN	Protein LYRIC (3D3/LYRIC) (Astrocyte elevated gene-1 protein) (AEG-1) (Lysine-rich CEACAM1 co-isolated protein) (Metadherin) (Metastasis adhesion protein)	MTDH AEG1 LYRIC	bicellular tight junction assembly [GO:0070830]; lipopolysaccharide-mediated signaling pathway [GO:0031663]; negative regulation of apoptotic process [GO:0043066]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of angiogenesis [GO:0045766]; positive regulation of autophagy [GO:0010508]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of protein kinase B signaling [GO:0051897]; regulation of transcription by RNA polymerase II [GO:0006357]	double-stranded RNA binding [GO:0003725]; NF-kappaB binding [GO:0051059]; RNA binding [GO:0003723]; RNA polymerase II transcription factor binding [GO:0001085]; transcription coactivator activity [GO:0003713]; transcription coregulator activity [GO:0003712]	apical plasma membrane [GO:0016324]; bicellular tight junction [GO:0005923]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; fibrillar center [GO:0001650]; integral component of membrane [GO:0016021]; intercellular canaliculus [GO:0046581]; nuclear body [GO:0016604]; nuclear membrane [GO:0031965]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]
Q86UP2	Q86UP2	KTN1_HUMAN	Kinectin (CG-1 antigen) (Kinesin receptor)	KTN1 CG1 KIAA0004	cellular protein metabolic process [GO:0044267]; microtubule-based movement [GO:0007018]; post-translational protein modification [GO:0043687]; protein transport [GO:0015031]	cadherin binding [GO:0045296]; kinesin binding [GO:0019894]; RNA binding [GO:0003723]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum membrane [GO:0005789]; integral component of endoplasmic reticulum membrane [GO:0030176]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]
Q86WB0	Q86WB0	NIPA_HUMAN	Nuclear-interacting partner of ALK (Nuclear-interacting partner of anaplastic lymphoma kinase) (hNIPA) (Zinc finger C3HC-type protein 1)	ZC3HC1 NIPA HSPC216	cell cycle [GO:0007049]; cell division [GO:0051301]; negative regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001240]; protein ubiquitination [GO:0016567]	protein kinase binding [GO:0019901]; zinc ion binding [GO:0008270]	nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q86XL3	Q86XL3	ANKL2_HUMAN	Ankyrin repeat and LEM domain-containing protein 2 (LEM domain-containing protein 4)	ANKLE2 KIAA0692 LEM4	cell division [GO:0051301]; central nervous system development [GO:0007417]; mitotic nuclear envelope reassembly [GO:0007084]; negative regulation of apoptotic process [GO:0043066]; negative regulation of phosphorylation [GO:0042326]; positive regulation of protein dephosphorylation [GO:0035307]; regulation of catalytic activity [GO:0050790]	protein phosphatase 2A binding [GO:0051721]; protein phosphatase regulator activity [GO:0019888]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of endoplasmic reticulum membrane [GO:0030176]; membrane [GO:0016020]
Q86YP4	Q86YP4	P66A_HUMAN	Transcriptional repressor p66-alpha (Hp66alpha) (GATA zinc finger domain-containing protein 2A)	GATAD2A	DNA methylation [GO:0006306]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]	protein-macromolecule adaptor activity [GO:0030674]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]	nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; NuRD complex [GO:0016581]
Q8IU81	Q8IU81	I2BP1_HUMAN	Interferon regulatory factor 2-binding protein 1 (IRF-2-binding protein 1) (IRF-2BP1) (Probable E3 ubiquitin-protein ligase IRF2BP1) (EC 2.3.2.27) (Probable RING-type E3 ubiquitin transferase IRF2BP1)	IRF2BP1	negative regulation of transcription by RNA polymerase II [GO:0000122]; protein polyubiquitination [GO:0000209]; regulation of transcription by RNA polymerase II [GO:0006357]	metal ion binding [GO:0046872]; transcription corepressor activity [GO:0003714]; transcription factor binding [GO:0008134]; ubiquitin protein ligase activity [GO:0061630]	nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q8IWB9	Q8IWB9	TEX2_HUMAN	Testis-expressed protein 2 (Transmembrane protein 96)	TEX2 KIAA1738 TMEM96	lipid transport [GO:0006869]; signal transduction [GO:0007165]; sphingolipid metabolic process [GO:0006665]	lipid binding [GO:0008289]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; nuclear membrane [GO:0031965]
Q8IWZ8	Q8IWZ8	SUGP1_HUMAN	SURP and G-patch domain-containing protein 1 (RNA-binding protein RBP) (Splicing factor 4)	SUGP1 SF4	mRNA splicing, via spliceosome [GO:0000398]	RNA binding [GO:0003723]	nucleoplasm [GO:0005654]; spliceosomal complex [GO:0005681]
Q8IXT5	Q8IXT5	RB12B_HUMAN	RNA-binding protein 12B (RNA-binding motif protein 12B)	RBM12B	regulation of RNA splicing [GO:0043484]	RNA binding [GO:0003723]	nucleoplasm [GO:0005654]; ribonucleoprotein complex [GO:1990904]
Q8IZD4	Q8IZD4	DCP1B_HUMAN	mRNA-decapping enzyme 1B (EC 3.-.-.-)	DCP1B	deadenylation-dependent decapping of nuclear-transcribed mRNA [GO:0000290]; deadenylation-independent decapping of nuclear-transcribed mRNA [GO:0031087]; exonucleolytic catabolism of deadenylated mRNA [GO:0043928]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of catalytic activity [GO:0043085]	enzyme activator activity [GO:0008047]; enzyme regulator activity [GO:0030234]; hydrolase activity [GO:0016787]; mRNA binding [GO:0003729]	cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; nucleus [GO:0005634]; P-body [GO:0000932]
Q8N122	Q8N122	RPTOR_HUMAN	Regulatory-associated protein of mTOR (Raptor) (p150 target of rapamycin (TOR)-scaffold protein)	RPTOR KIAA1303 RAPTOR	cell cycle arrest [GO:0007050]; cellular response to amino acid starvation [GO:0034198]; cellular response to amino acid stimulus [GO:0071230]; cellular response to leucine [GO:0071233]; cellular response to nutrient levels [GO:0031669]; cellular response to starvation [GO:0009267]; positive regulation of cell growth [GO:0030307]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of peptidyl-threonine phosphorylation [GO:0010800]; positive regulation of protein serine/threonine kinase activity [GO:0071902]; positive regulation of TOR signaling [GO:0032008]; positive regulation of transcription by RNA polymerase III [GO:0045945]; regulation of autophagy [GO:0010506]; regulation of cell growth [GO:0001558]; regulation of cell size [GO:0008361]; regulation of cellular response to heat [GO:1900034]; regulation of macroautophagy [GO:0016241]; response to xenobiotic stimulus [GO:0009410]; social behavior [GO:0035176]; TORC1 signaling [GO:0038202]; TOR signaling [GO:0031929]; viral process [GO:0016032]	14-3-3 protein binding [GO:0071889]; protein-containing complex binding [GO:0044877]; protein kinase activator activity [GO:0030295]; protein kinase binding [GO:0019901]; protein-macromolecule adaptor activity [GO:0030674]; protein serine/threonine kinase inhibitor activity [GO:0030291]; RNA polymerase III type 1 promoter sequence-specific DNA binding [GO:0001002]; RNA polymerase III type 2 promoter sequence-specific DNA binding [GO:0001003]; RNA polymerase III type 3 promoter sequence-specific DNA binding [GO:0001006]; TFIIIC-class transcription factor complex binding [GO:0001156]	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; dendrite [GO:0030425]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; neuronal cell body [GO:0043025]; nucleoplasm [GO:0005654]; TORC1 complex [GO:0031931]
Q8N163	Q8N163	CCAR2_HUMAN	Cell cycle and apoptosis regulator protein 2 (Cell division cycle and apoptosis regulator protein 2) (DBIRD complex subunit KIAA1967) (Deleted in breast cancer gene 1 protein) (DBC-1) (DBC.1) (NET35) (p30 DBC)	CCAR2 DBC1 KIAA1967	cell cycle [GO:0007049]; cellular response to DNA damage stimulus [GO:0006974]; mitochondrial fragmentation involved in apoptotic process [GO:0043653]; mRNA processing [GO:0006397]; negative regulation of catalytic activity [GO:0043086]; negative regulation of cell growth [GO:0030308]; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage [GO:1902230]; negative regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032435]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of apoptotic process [GO:0043065]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of DNA damage checkpoint [GO:2000003]; regulation of cellular response to heat [GO:1900034]; regulation of circadian rhythm [GO:0042752]; regulation of DNA-templated transcription, elongation [GO:0032784]; regulation of protein deacetylation [GO:0090311]; regulation of protein stability [GO:0031647]; regulation of transcription, DNA-templated [GO:0006355]; response to UV [GO:0009411]; rhythmic process [GO:0048511]; RNA splicing [GO:0008380]; Wnt signaling pathway [GO:0016055]	enzyme binding [GO:0019899]; enzyme inhibitor activity [GO:0004857]; nuclear receptor coactivator activity [GO:0030374]; RNA binding [GO:0003723]; RNA polymerase II complex binding [GO:0000993]	chromatin [GO:0000785]; cytoplasm [GO:0005737]; DBIRD complex [GO:0044609]; mitochondrial matrix [GO:0005759]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle [GO:0005819]
Q8N1F8	Q8N1F8	S11IP_HUMAN	Serine/threonine-protein kinase 11-interacting protein (LKB1-interacting protein 1)	STK11IP KIAA1898 LIP1 LKB1IP STK11IP1	neutrophil degranulation [GO:0043312]; protein localization [GO:0008104]	protein kinase binding [GO:0019901]	azurophil granule lumen [GO:0035578]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; lysosomal membrane [GO:0005765]
Q8N2F6	Q8N2F6	ARM10_HUMAN	Armadillo repeat-containing protein 10 (Splicing variant involved in hepatocarcinogenesis protein)	ARMC10 SVH PSEC0198	negative regulation of apoptotic process [GO:0043066]; negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator [GO:1902254]; positive regulation of growth rate [GO:0040010]; regulation of growth [GO:0040008]	DNA binding domain binding [GO:0050692]; p53 binding [GO:0002039]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]
Q8N3U4	Q8N3U4	STAG2_HUMAN	Cohesin subunit SA-2 (SCC3 homolog 2) (Stromal antigen 2)	STAG2 SA2	cell division [GO:0051301]; meiotic cell cycle [GO:0051321]; mitotic spindle assembly [GO:0090307]; sister chromatid cohesion [GO:0007062]	chromatin binding [GO:0003682]	chromatin [GO:0000785]; chromosome [GO:0005694]; chromosome, centromeric region [GO:0000775]; cohesin complex [GO:0008278]; cytosol [GO:0005829]; membrane [GO:0016020]; mitotic spindle pole [GO:0097431]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q8N6T7	Q8N6T7	SIR6_HUMAN	NAD-dependent protein deacetylase sirtuin-6 (EC 2.3.1.286) (Regulatory protein SIR2 homolog 6) (SIR2-like protein 6)	SIRT6 SIR2L6	histone H3 deacetylation [GO:0070932]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of blood vessel branching [GO:1905555]; positive regulation of chondrocyte proliferation [GO:1902732]; positive regulation of chromatin silencing at telomere [GO:0031940]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of subtelomeric heterochromatin assembly [GO:1905549]; positive regulation of telomere maintenance [GO:0032206]; positive regulation of transcription factor catabolic process [GO:1901485]; positive regulation of vascular endothelial cell proliferation [GO:1905564]; post-embryonic cardiac muscle cell growth involved in heart morphogenesis [GO:0003247]; protein ADP-ribosylation [GO:0006471]; protein deacetylation [GO:0006476]; regulation of double-strand break repair via homologous recombination [GO:0010569]; response to nutrient levels [GO:0031667]	deacetylase activity [GO:0019213]; histone deacetylase activity [GO:0004407]; NAD(P)+-protein-arginine ADP-ribosyltransferase activity [GO:0003956]; NAD+ ADP-ribosyltransferase activity [GO:0003950]; NAD+ binding [GO:0070403]; NAD-dependent histone deacetylase activity [GO:0017136]; NAD-dependent histone deacetylase activity (H3-K9 specific) [GO:0046969]; transcription corepressor activity [GO:0003714]; zinc ion binding [GO:0008270]	chromosome, subtelomeric region [GO:0099115]; cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q8N7R7	Q8N7R7	CCYL1_HUMAN	Cyclin-Y-like protein 1	CCNYL1	flagellated sperm motility [GO:0030317]; positive regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0045737]; spermatogenesis [GO:0007283]	cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; protein kinase binding [GO:0019901]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
Q8N9T8	Q8N9T8	KRI1_HUMAN	Protein KRI1 homolog	KRI1	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]	RNA binding [GO:0003723]	90S preribosome [GO:0030686]; nucleolus [GO:0005730]
Q8NBJ5	Q8NBJ5	GT251_HUMAN	Procollagen galactosyltransferase 1 (EC 2.4.1.50) (Collagen beta(1-O)galactosyltransferase 1) (ColGalT 1) (Glycosyltransferase 25 family member 1) (Hydroxylysine galactosyltransferase 1)	COLGALT1 GLT25D1 PSEC0241	collagen fibril organization [GO:0030199]; positive regulation of collagen fibril organization [GO:1904028]	procollagen galactosyltransferase activity [GO:0050211]	endoplasmic reticulum lumen [GO:0005788]; membrane [GO:0016020]
Q8NC44	Q8NC44	RETR2_HUMAN	Reticulophagy regulator 2	RETREG2 C2orf17 FAM134A MAG2			integral component of membrane [GO:0016021]
Q8NC51	Q8NC51	PAIRB_HUMAN	Plasminogen activator inhibitor 1 RNA-binding protein (PAI1 RNA-binding protein 1) (PAI-RBP1) (SERPINE1 mRNA-binding protein 1)	SERBP1 PAIRBP1 CGI-55	PML body organization [GO:0030578]; regulation of apoptotic process [GO:0042981]; regulation of mRNA stability [GO:0043488]	cadherin binding [GO:0045296]; mRNA 3'-UTR binding [GO:0003730]; ribosome binding [GO:0043022]; RNA binding [GO:0003723]; SUMO binding [GO:0032183]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]
Q8ND56	Q8ND56	LS14A_HUMAN	Protein LSM14 homolog A (Protein FAM61A) (Protein SCD6 homolog) (Putative alpha-synuclein-binding protein) (AlphaSNBP) (RNA-associated protein 55A) (hRAP55) (hRAP55A)	LSM14A C19orf13 FAM61A RAP55 RAP55A	mitotic spindle assembly [GO:0090307]; multicellular organism development [GO:0007275]; negative regulation of translation [GO:0017148]; P-body assembly [GO:0033962]; positive regulation of type I interferon-mediated signaling pathway [GO:0060340]; RIG-I signaling pathway [GO:0039529]; stress granule assembly [GO:0034063]	double-stranded DNA binding [GO:0003690]; double-stranded RNA binding [GO:0003725]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; single-stranded RNA binding [GO:0003727]	cytoplasm [GO:0005737]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; messenger ribonucleoprotein complex [GO:1990124]; mitotic spindle [GO:0072686]; P-body [GO:0000932]
Q8NDX1	Q8NDX1	PSD4_HUMAN	PH and SEC7 domain-containing protein 4 (Exchange factor for ADP-ribosylation factor guanine nucleotide factor 6 B) (Exchange factor for ARF6 B) (Pleckstrin homology and SEC7 domain-containing protein 4) (Telomeric of interleukin-1 cluster protein)	PSD4 EFA6B TIC	regulation of ARF protein signal transduction [GO:0032012]	guanyl-nucleotide exchange factor activity [GO:0005085]; phospholipid binding [GO:0005543]	membrane [GO:0016020]; ruffle membrane [GO:0032587]
Q8NF50	Q8NF50	DOCK8_HUMAN	Dedicator of cytokinesis protein 8	DOCK8	cellular response to chemokine [GO:1990869]; dendritic cell migration [GO:0036336]; immunological synapse formation [GO:0001771]; memory T cell proliferation [GO:0061485]; negative regulation of T cell apoptotic process [GO:0070233]; positive regulation of establishment of T cell polarity [GO:1903905]; positive regulation of GTPase activity [GO:0043547]; positive regulation of T cell migration [GO:2000406]; small GTPase mediated signal transduction [GO:0007264]	guanyl-nucleotide exchange factor activity [GO:0005085]	cytoplasm [GO:0005737]; lamellipodium membrane [GO:0031258]; leading edge membrane [GO:0031256]; membrane [GO:0016020]
Q8NFC6	Q8NFC6	BD1L1_HUMAN	Biorientation of chromosomes in cell division protein 1-like 1	BOD1L1 BOD1L FAM44A KIAA1327	cellular response to DNA damage stimulus [GO:0006974]; DNA repair [GO:0006281]; negative regulation of phosphoprotein phosphatase activity [GO:0032515]; replication fork processing [GO:0031297]	protein phosphatase 2A binding [GO:0051721]; protein phosphatase inhibitor activity [GO:0004864]	centrosome [GO:0005813]; condensed chromosome outer kinetochore [GO:0000940]; nucleoplasm [GO:0005654]; spindle microtubule [GO:0005876]; spindle pole [GO:0000922]
Q8NHM5	Q8NHM5	KDM2B_HUMAN	Lysine-specific demethylase 2B (EC 1.14.11.27) (CXXC-type zinc finger protein 2) (F-box and leucine-rich repeat protein 10) (F-box protein FBL10) (F-box/LRR-repeat protein 10) (JmjC domain-containing histone demethylation protein 1B) (Jumonji domain-containing EMSY-interactor methyltransferase motif protein) (Protein JEMMA) (Protein-containing CXXC domain 2) ([Histone-H3]-lysine-36 demethylase 1B)	KDM2B CXXC2 FBL10 FBXL10 JHDM1B NDY1 PCCX2	embryonic camera-type eye morphogenesis [GO:0048596]; forebrain development [GO:0030900]; fourth ventricle development [GO:0021592]; hindbrain development [GO:0030902]; histone H2A monoubiquitination [GO:0035518]; histone H3-K36 demethylation [GO:0070544]; initiation of neural tube closure [GO:0021993]; lateral ventricle development [GO:0021670]; midbrain development [GO:0030901]; midbrain-hindbrain boundary morphogenesis [GO:0021555]; negative regulation of neural precursor cell proliferation [GO:2000178]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of cell growth [GO:0030307]; positive regulation of stem cell population maintenance [GO:1902459]; protein demethylation [GO:0006482]; regulation of transcription by RNA polymerase II [GO:0006357]; spermatogenesis [GO:0007283]; third ventricle development [GO:0021678]	DNA binding [GO:0003677]; histone demethylase activity [GO:0032452]; histone demethylase activity (H3-K36 specific) [GO:0051864]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; rRNA binding [GO:0019843]; transcription coregulator activity [GO:0003712]; unmethylated CpG binding [GO:0045322]; zinc ion binding [GO:0008270]	chromosome [GO:0005694]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q8NHZ8	Q8NHZ8	CDC26_HUMAN	Anaphase-promoting complex subunit CDC26 (Anaphase-promoting complex subunit 12) (APC12) (Cell division cycle protein 26 homolog)	CDC26 ANAPC12 C9orf17	anaphase-promoting complex-dependent catabolic process [GO:0031145]; cell cycle [GO:0007049]; cell division [GO:0051301]; protein K11-linked ubiquitination [GO:0070979]; regulation of exit from mitosis [GO:0007096]; regulation of mitotic cell cycle [GO:0007346]; regulation of mitotic cell cycle phase transition [GO:1901990]; regulation of mitotic metaphase/anaphase transition [GO:0030071]; ubiquitin-dependent protein catabolic process [GO:0006511]		anaphase-promoting complex [GO:0005680]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]
Q8NI27	Q8NI27	THOC2_HUMAN	THO complex subunit 2 (Tho2) (hTREX120)	THOC2 CXorf3	generation of neurons [GO:0048699]; mRNA 3'-end processing [GO:0031124]; mRNA export from nucleus [GO:0006406]; neuron development [GO:0048666]; poly(A)+ mRNA export from nucleus [GO:0016973]; RNA export from nucleus [GO:0006405]; RNA splicing [GO:0008380]; viral mRNA export from host cell nucleus [GO:0046784]	mRNA binding [GO:0003729]	nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; THO complex [GO:0000347]; THO complex part of transcription export complex [GO:0000445]; transcription export complex [GO:0000346]
Q8TBA6	Q8TBA6	GOGA5_HUMAN	Golgin subfamily A member 5 (Cell proliferation-inducing gene 31 protein) (Golgin-84) (Protein Ret-II) (RET-fused gene 5 protein)	GOLGA5 RETII RFG5 PIG31	Golgi organization [GO:0007030]; Golgi vesicle transport [GO:0048193]; retrograde transport, vesicle recycling within Golgi [GO:0000301]	protein homodimerization activity [GO:0042803]; small GTPase binding [GO:0031267]	cis-Golgi network [GO:0005801]; Golgi apparatus [GO:0005794]; Golgi cisterna [GO:0031985]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; transport vesicle [GO:0030133]
Q8TCJ2	Q8TCJ2	STT3B_HUMAN	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B (Oligosaccharyl transferase subunit STT3B) (STT3-B) (EC 2.4.99.18) (Source of immunodominant MHC-associated peptides homolog)	STT3B SIMP	co-translational protein modification [GO:0043686]; glycoprotein catabolic process [GO:0006516]; post-translational protein modification [GO:0043687]; protein N-linked glycosylation [GO:0006487]; protein N-linked glycosylation via asparagine [GO:0018279]; response to unfolded protein [GO:0006986]; ubiquitin-dependent ERAD pathway [GO:0030433]	dolichyl-diphosphooligosaccharide-protein glycotransferase activity [GO:0004579]; metal ion binding [GO:0046872]	endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; oligosaccharyltransferase complex [GO:0008250]; oligosaccharyltransferase I complex [GO:0034998]; protein-containing complex [GO:0032991]
Q8TD16	Q8TD16	BICD2_HUMAN	Protein bicaudal D homolog 2 (Bic-D 2)	BICD2 KIAA0699	centrosome localization [GO:0051642]; microtubule anchoring at microtubule organizing center [GO:0072393]; microtubule-based movement [GO:0007018]; minus-end-directed organelle transport along microtubule [GO:0072385]; mRNA transport [GO:0051028]; protein localization to Golgi apparatus [GO:0034067]; protein localization to organelle [GO:0033365]; protein transport [GO:0015031]; regulation of microtubule cytoskeleton organization [GO:0070507]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]	cytoskeletal anchor activity [GO:0008093]; dynactin binding [GO:0034452]; dynein complex binding [GO:0070840]; dynein light intermediate chain binding [GO:0051959]; small GTPase binding [GO:0031267]	annulate lamellae [GO:0005642]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; nuclear envelope [GO:0005635]; nuclear pore [GO:0005643]; plasma membrane [GO:0005886]
Q8TD19	Q8TD19	NEK9_HUMAN	Serine/threonine-protein kinase Nek9 (EC 2.7.11.1) (Nercc1 kinase) (Never in mitosis A-related kinase 9) (NimA-related protein kinase 9) (NimA-related kinase 8) (Nek8)	NEK9 KIAA1995 NEK8 NERCC	cell division [GO:0051301]; mitotic nuclear envelope disassembly [GO:0007077]; mitotic spindle organization [GO:0007052]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein kinase binding [GO:0019901]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	cytosol [GO:0005829]; nucleus [GO:0005634]
Q8TDZ2	Q8TDZ2	MICA1_HUMAN	[F-actin]-monooxygenase MICAL1 (EC 1.14.13.225) (Molecule interacting with CasL protein 1) (MICAL-1) (NEDD9-interacting protein with calponin homology and LIM domains)	MICAL1 MICAL NICAL	actin filament bundle assembly [GO:0051017]; actin filament depolymerization [GO:0030042]; blood coagulation [GO:0007596]; cytoskeleton organization [GO:0007010]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of protein phosphorylation [GO:0001933]; regulation of regulated secretory pathway [GO:1903305]; signal transduction [GO:0007165]; sulfur oxidation [GO:0019417]	actin binding [GO:0003779]; actin filament binding [GO:0051015]; FAD binding [GO:0071949]; metal ion binding [GO:0046872]; NAD(P)H oxidase H2O2-forming activity [GO:0016174]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; protein kinase binding [GO:0019901]; SH3 domain binding [GO:0017124]; small GTPase binding [GO:0031267]	actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; hippocampal mossy fiber expansion [GO:1990026]; intercellular bridge [GO:0045171]; intermediate filament [GO:0005882]; midbody [GO:0030496]; plasma membrane [GO:0005886]
